"","V1"
"299",4
"300",4
"301",2
"302",4
"303",3
"304",4
"305",2
"306",4
"307",2
"308",4
"309",4
"310",4
"311",1
"312",5
"313",2
"314",2
"315",1
"316",4
"317",4
"318",4
"319",4
"320",1
"321",4
"322",5
"323",3
"324",1
"325",2
"326",1
"327",1
"328",4
"329",3
"330",4
"331",5
"332",1
"333",3
"334",5
"335",4
"336",4
"337",3
"338",2
"339",4
"340",3
"341",3
"342",3
"343",1
"344",2
"345",4
"346",4
"347",1
"348",1
"349",1
"350",2
"351",2
"352",1
"353",3
"354",1
"355",1
"356",1
"357",3
"358",4
"359",4
"360",2
"361",5
"362",3
"363",4
"364",4
"365",5
"366",4
"367",4
"368",5
"369",4
"370",4
"371",3
"372",1
"373",3
"374",1
"375",5
"376",4
"377",4
"378",4
"379",4
"380",5
"381",1
"382",4
"383",4
"384",1
"385",5
"386",1
"387",1
"388",4
"389",4
"390",4
"391",2
"392",2
"393",4
"394",2
"395",1
"396",3
"397",2
"398",2
"399",2
"400",2
"401",1
"402",1
"403",2
"404",5
"405",2
"406",3
"407",4
"408",4
"409",1
"410",4
"411",5
"412",5
"413",2
"414",2
"415",3
"416",4
"417",1
"418",2
"419",1
"420",1
"421",1
"422",2
"423",2
"424",2
"425",2
"426",2
"427",1
"428",4
"429",1
"430",1
"431",2
"432",1
"433",5
"434",5
"435",3
"436",3
"437",2
"438",3
"439",2
"440",1
"441",1
"442",5
"443",1
"444",5
"445",5
"446",3
"447",3
"448",1
"449",3
"450",5
"451",3
"452",3
"453",1
"454",5
"455",1
"456",5
"457",3
"458",5
"459",3
"460",5
"461",3
"462",5
"463",1
"464",3
"465",5
"466",3
"467",5
"468",5
"469",3
"470",3
"471",5
"472",3
"473",5
"474",5
"475",1
"476",4
"477",5
"478",2
"479",3
"480",5
"481",5
"482",3
"483",4
"484",1
"485",1
"486",1
"487",4
"488",2
"489",1
"490",5
"491",3
"492",3
"493",5
"494",3
"495",5
"496",4
"497",3
"498",3
"499",3
"500",3
"501",3
"502",5
"503",5
"504",5
"505",2
"506",1
"507",5
"508",2
"509",3
"510",3
"511",5
"512",5
"513",4
"514",5
"515",3
"516",5
"517",3
"518",3
"519",1
"520",5
"521",1
"522",3
"523",2
"524",3
"525",1
"526",3
"527",3
"528",1
"529",3
"530",3
"531",2
"532",5
"533",5
"534",1
"535",5
"536",3
"537",2
"538",3
"539",2
"540",1
"541",4
"542",4
"543",1
"544",3
"545",2
"546",2
"547",2
"548",4
"549",1
"550",1
"551",3
"552",1
"553",1
"554",4
"555",4
"556",4
"557",3
"558",1
"559",1
"560",2
"561",5
"562",5
"563",3
"564",2
"565",3
"566",3
"567",4
"568",4
"569",4
"570",4
"571",4
"572",4
"573",2
"574",4
"575",4
"576",4
"577",4
"578",3
"579",4
"580",4
"581",4
"582",4
"583",1
"584",5
"585",3
"586",4
"587",5
"588",4
"589",2
"590",3
"591",4
"592",3
"593",4
"594",4
"595",5
"596",1
"597",4
"598",1
"599",4
"600",4
"601",1
"602",1
"603",2
"604",2
"605",4
"606",4
"607",4
"608",4
"609",2
"610",5
"611",3
"612",3
"613",1
"614",3
"615",5
"616",4
"617",4
"618",4
"619",4
"620",4
"621",3
"622",4
"623",2
"624",4
"625",2
"626",3
"627",3
"628",4
"629",3
"630",1
"631",4
"632",4
"633",3
"634",4
"635",5
"636",4
"637",1
"638",4
"639",4
"640",1
"641",2
"642",4
"643",4
"644",4
"645",3
"646",2
"647",2
"648",3
"649",2
"650",1
"651",3
"652",1
"653",1
"654",3
"655",5
"656",3
"657",1
"658",3
"659",2
"660",1
"661",1
"662",5
"663",5
"664",3
"665",5
"666",2
"667",3
"668",1
"669",5
"670",3
"671",2
"672",4
"673",2
"674",2
"675",2
"676",1
"677",2
"678",2
"679",2
"680",2
"681",2
"682",2
"683",2
"684",1
"685",2
"686",3
"687",2
"688",1
"689",4
"690",2
"691",2
"692",5
"693",5
"694",1
"695",5
"696",1
"697",2
"698",1
"699",1
"700",1
"701",2
"702",3
"703",3
"704",1
"705",1
"706",3
"707",2
"708",3
"709",2
"710",5
"711",5
"712",1
"713",3
"714",1
"715",1
"716",3
"717",1
"718",1
"719",1
"720",3
"721",3
"722",5
"723",3
"724",3
"725",1
"726",3
"727",1
"728",5
"729",1
"730",2
"731",1
"732",1
"733",4
"734",2
"735",4
"736",5
"737",4
"738",3
"739",5
"740",1
"741",5
"742",3
"743",3
"744",1
"745",5
"746",1
"747",1
"748",3
"749",1
"750",5
"751",1
"752",1
"753",3
"754",5
"755",3
"756",3
"757",5
"758",3
"759",5
"760",1
"761",1
"762",5
"763",3
"764",3
"765",5
"766",3
"767",1
"768",2
"769",1
"770",1
"771",3
"772",2
"773",2
"774",2
"775",1
"776",5
"777",5
"778",1
"779",1
"780",5
"781",3
"782",3
"783",1
"784",5
"785",5
"786",1
"787",5
"788",5
"789",3
"790",1
"791",3
"792",3
"793",3
"794",1
"795",3
"796",5
"797",5
"798",1
"799",3
"800",5
"801",3
"802",3
"803",1
"804",5
"805",1
"806",4
"807",4
"808",2
"809",4
"810",4
"811",2
"812",4
"813",4
"814",3
"815",4
"816",4
"817",4
"818",2
"819",5
"820",5
"821",1
"822",2
"823",4
"824",5
"825",1
"826",4
"827",4
"828",5
"829",5
"830",4
"831",2
"832",4
"833",4
"834",2
"835",3
"836",4
"837",2
"838",4
"839",4
"840",1
"841",4
"842",4
"843",4
"844",2
"845",1
"846",2
"847",2
"848",5
"849",5
"850",1
"851",4
"852",4
"853",3
"854",4
"855",1
"856",2
"857",3
"858",4
"859",4
"860",4
"861",4
"862",4
"863",1
"864",1
"865",1
"866",1
"867",4
"868",2
"869",4
"870",3
"871",1
"872",1
"873",4
"874",2
"875",3
"876",1
"877",1
"878",1
"879",5
"880",4
"881",3
"882",5
"883",4
"884",2
"885",5
"886",4
"887",4
"888",4
"889",4
"890",4
"891",4
"892",1
"893",3
"894",2
"895",4
"896",4
"897",2
"898",4
"899",4
"900",4
"901",1
"902",1
"903",4
"904",3
"905",1
"906",2
"907",2
"908",2
"909",2
"910",2
"911",2
"912",2
"913",3
"914",2
"915",5
"916",2
"917",4
"918",1
"919",1
"920",2
"921",2
"922",2
"923",4
"924",1
"925",2
"926",2
"927",2
"928",2
"929",1
"930",2
"931",1
"932",3
"933",2
"934",4
"935",2
"936",1
"937",3
"938",2
"939",1
"940",3
"941",3
"942",2
"943",2
"944",5
"945",2
"946",3
"947",1
"948",2
"949",1
"950",5
"951",5
"952",1
"953",3
"954",2
"955",2
"956",5
"957",3
"958",2
"959",2
"960",3
"961",1
"962",2
"963",2
"964",1
"965",2
"966",2
"967",2
"968",1
"969",1
"970",3
"971",2
"972",1
"973",2
"974",2
"975",3
"976",2
"977",2
"978",3
"979",4
"980",5
"981",3
"982",2
"983",4
"984",5
"985",5
"986",1
"987",3
"988",1
"989",3
"990",1
"991",1
"992",3
"993",1
"994",5
"995",1
"996",3
"997",5
"998",4
"999",1
"1000",3
"1001",1
"1002",5
"1003",3
"1004",3
"1005",1
"1006",1
"1007",1
"1008",1
"1009",5
"1010",3
"1011",1
"1012",5
"1013",3
"1014",5
"1015",1
"1016",3
"1017",5
"1018",1
"1019",3
"1020",5
"1021",5
"1022",3
"1023",1
"1024",3
"1025",3
"1026",1
"1027",3
"1028",1
"1029",5
"1030",1
"1031",3
"1032",3
"1033",1
"1034",3
"1035",3
"1036",5
"1037",1
"1038",3
"1039",1
"1040",3
"1041",1
"1042",4
"1043",5
"1044",3
"1045",5
"1046",3
"1047",1
"1048",3
"1049",3
"1050",1
"1051",3
"1052",1
"1053",3
"1054",1
"1055",3
"1056",3
"1057",5
"1058",1
"1059",1
"1060",3
"1061",5
"1062",5
"1063",3
"1064",5
"1065",1
"1066",1
"1067",3
"1068",5
"1069",3
"1070",1
"1071",3
"1072",3
"1073",3
"1074",3
"1075",3
"1076",5
"1077",3
"1078",4
"1079",3
"1080",4
"1081",3
"1082",3
"1083",5
"1084",3
"1085",5
"1086",5
"1087",2
"1088",3
"1089",1
"1090",5
"1091",5
"1092",5
"1093",1
"1094",3
"1095",3
"1096",3
"1097",5
"1098",1
"1099",3
"1100",3
"1101",5
"1102",3
"1103",5
"1104",3
"1105",3
"1106",5
"1107",2
"1108",4
"1109",4
"1110",2
"1111",2
"1112",2
"1113",4
"1114",1
"1115",5
"1116",4
"1117",4
"1118",1
"1119",2
"1120",4
"1121",4
"1122",4
"1123",4
"1124",4
"1125",4
"1126",4
"1127",4
"1128",4
"1129",4
"1130",4
"1131",4
"1132",4
"1133",2
"1134",4
"1135",4
"1136",4
"1137",4
"1138",3
"1139",2
"1140",1
"1141",4
"1142",4
"1143",4
"1144",1
"1145",4
"1146",4
"1147",4
"1148",1
"1149",4
"1150",1
"1151",1
"1152",4
"1153",2
"1154",4
"1155",4
"1156",2
"1157",3
"1158",4
"1159",4
"1160",4
"1161",4
"1162",4
"1163",3
"1164",4
"1165",3
"1166",4
"1167",2
"1168",4
"1169",4
"1170",1
"1171",1
"1172",1
"1173",4
"1174",4
"1175",2
"1176",4
"1177",3
"1178",4
"1179",4
"1180",4
"1181",3
"1182",4
"1183",4
"1184",5
"1185",2
"1186",4
"1187",3
"1188",1
"1189",1
"1190",4
"1191",4
"1192",4
"1193",4
"1194",1
"1195",1
"1196",4
"1197",4
"1198",3
"1199",1
"1200",4
"1201",4
"1202",2
"1203",2
"1204",2
"1205",2
"1206",3
"1207",2
"1208",2
"1209",2
"1210",2
"1211",2
"1212",2
"1213",2
"1214",2
"1215",2
"1216",2
"1217",3
"1218",2
"1219",3
"1220",2
"1221",1
"1222",2
"1223",2
"1224",5
"1225",2
"1226",2
"1227",2
"1228",5
"1229",2
"1230",2
"1231",2
"1232",4
"1233",1
"1234",2
"1235",2
"1236",3
"1237",4
"1238",2
"1239",2
"1240",1
"1241",1
"1242",2
"1243",2
"1244",4
"1245",2
"1246",1
"1247",2
"1248",2
"1249",4
"1250",5
"1251",2
"1252",2
"1253",2
"1254",2
"1255",1
"1256",1
"1257",1
"1258",1
"1259",3
"1260",1
"1261",2
"1262",4
"1263",2
"1264",1
"1265",2
"1266",5
"1267",5
"1268",5
"1269",1
"1270",1
"1271",5
"1272",3
"1273",1
"1274",3
"1275",4
"1276",4
"1277",3
"1278",5
"1279",5
"1280",5
"1281",1
"1282",5
"1283",1
"1284",1
"1285",3
"1286",3
"1287",5
"1288",1
"1289",5
"1290",1
"1291",3
"1292",5
"1293",1
"1294",3
"1295",1
"1296",1
"1297",3
"1298",5
"1299",3
"1300",1
"1301",3
"1302",1
"1303",3
"1304",3
"1305",1
"1306",5
"1307",1
"1308",5
"1309",1
"1310",5
"1311",5
"1312",3
"1313",5
"1314",3
"1315",3
"1316",2
"1317",3
"1318",5
"1319",3
"1320",1
"1321",5
"1322",1
"1323",1
"1324",1
"1325",3
"1326",5
"1327",1
"1328",5
"1329",3
"1330",1
"1331",1
"1332",5
"1333",1
"1334",3
"1335",1
"1336",3
"1337",1
"1338",3
"1339",5
"1340",1
"1341",5
"1342",5
"1343",5
"1344",5
"1345",1
"1346",3
"1347",3
"1348",1
"1349",5
"1350",1
"1351",5
"1352",5
"1353",1
"1354",1
"1355",5
"1356",5
"1357",3
"1358",3
"1359",2
"1360",5
"1361",4
"1362",1
"1363",5
"1364",5
"1365",3
"1366",1
"1367",5
"1368",5
"1369",1
"1370",1
"1371",5
"1372",1
"1373",3
"1374",5
"1375",1
"1376",5
"1377",5
"1378",5
"1379",3
"1380",5
"1381",3
"1382",1
"1383",3
"1384",5
"1385",3
"1386",1
"1387",5
"1388",1
"1389",1
"1390",4
"1391",1
"1392",1
"1393",3
"1394",4
"1395",4
"1396",3
"1397",1
"1398",4
"1399",4
"1400",5
"1401",4
"1402",4
"1403",4
"1404",4
